article,noun,plural,english
das,Kochen,kein Pl.,Cooking
die,Atmosphäre,Atmosphären,Atmosphere
das,Gefäß,Gefäße,Vessel
der,Gehweg,Gehwege,Pavement/Walkway
die,Eins,kein Pl.,One
das,Rätsel,Rätsel,Puzzle
die,Vermutung,Vermutungen,Guess
das,Schiff,Schiffe,Ship
der,Partner,Partner,Partner
die,Kirche,Kirchen,Church
das,Pack,Packs,Pack
die,Wüste,Wüsten,Desert
die,Hilfe,Hilfen,Aid/Assistance
die,Theke,Theken,Counter
der,Junge,Jungen,Boy/Lad
das,Terminal,Terminals,Terminal
die,Prärie,Prärien,Prairie
der,Monat,Monate,Month
der,Fels,Felsen,Boulder
der,Vertrag,Verträge,Contract
der,Schottenkaro,Schottenkaros,Plaid
das,Innere,kein Pl.,Inside/Interior
das,Vergnügen,Vergnügen,Pleasure
die,Medaille,Medaillen,Medal
die,Anfrage,Anfragen,Inquiry/Request
der,Applaus,kein Pl.,Applause
die,Kinderzimmer,Kinderzimmer,Nursery
der,Impuls,Impulse,Impulse
das,Krankenhaus,Krankenhäuser,Hospital
die,Rinde,Rinden,Bark
der,Truthahn,Truthähne,Turkey
die,Verfolgung,Verfolgungen,Pursuit
die,Wiese,Wiesen,Meadow
die,Nachbarschaft,Nachbarschaften,Neighborhood
der,Ehrgeiz,kein Pl.,Ambition
das,Wunder,Wunder,Miracle/Wonder
der,Vergleich,Vergleiche,Comparison
der,Fisch,Fische,Fish
der,Erzähler,Erzähler,Narrator
das,Grollen,Grollen,Rumble
der,Abfall,kein Pl.,Waste
die,Biene,Bienen,Bee
die,Person,Personen,Person
die,Kontrolle,Kontrollen,Control
die,Fledermaus,Fledermäuse,Bat
das,Grau,kein Pl.,Gray
die,Start- und Landebahn,Start- und Landebahnen,Runway
die,Leber,Lebern,Liver
der,Gin,kein Pl.,Gin
das,Schicksal,kein Pl.,Destiny/Fate
die,Kathedrale,Kathedralen,Cathedral
das,Knie,Knie,Knee
das,Bad,Bäder,Bath
die,Mühle,Mühlen,Mill
das,Symptom,Symptome,Symptom
das,Volk,kein Pl.,Folk
die,Wange,Wangen,Cheek
die,Schürze,Schürzen,Apron
der,Mechanismus,Mechanismen,Mechanism
die,Tour,Touren,Tour
die,Tasse,Tassen,Cup
das,Ergebnis,Ergebnisse,Result
der,Wind,Winde,Wind
die,Schaufel,Schaufeln,Shovel
das,Talent,Talente,Talent
der,Regenmantel,Regenmäntel,Raincoat
der,Ausdruck,Ausdrücke,Expression
der,Gefangene,Gefangenen,Prisoner
der,Waggon,Waggons,Wagon
der,Brunnen,Brunnen,Fountain
das,Level,Level,Level
der,Lippenstift,Lippenstifte,Lipstick
der,Agent,Agenten,Agent
die,Glut,Glüten,Ember
der,Vorhang,Vorhänge,Curtain
das,Fahrzeug,Fahrzeuge,Vehicle
der,Besuch,Besuche,Visit
der,Stier,Stiere,Bull
das,Messer,Messer,Knife
das,Bauernhaus,Bauernhäuser,Farmhouse
der,Delphin,Delfine,Dolphin
die,Erkenntnis,Erkenntnisse,Realization
das,Argument,Argumente,Argument
das,Artefakt,Artefakte,Artifact
die,Lichtung,Lichtungen,Clearing
der,Vorteil,Vorteile,Advantage
die,Mitternacht,kein Pl.,Midnight
das,Blau,kein Pl.,Blue
das,Praktikum,Praktika,Internship
die,Position,Positionen,Position
der,Traktor,Traktoren,Tractor
der,Zustand,Zustände,Condition/State
der,Grill,Grills,Grill
der,Ordner,Ordner,Folder
der,Meter,Meter,Meter
das,Baby,Babys,Baby
der,Vogel,Vögel,Bird
das,Angebot,Angebote,Offer/Offering
das,Zögern,kein Pl.,Hesitation
das,Hauptquartier,Hauptquartiere,Headquarters
der,Einheimische,Einheimischen,Local
der,Stand,Stände,Booth/Stand
die,Cue,Cues,Cue
der,Zügel,Zügel,Rein
das,Projekt,Projekte,Project
das,Geschlecht,Geschlechter,Gender
der,Segen,Segen,Blessing
die,Abfolge,Abfolgen,Sequence
das,Wachstum,kein Pl.,Growth
der,Link,Links,Link
die,Vergangenheit,kein Pl.,Past
der,Botschafter,Botschafter,Ambassador
der,Elefant,Elefanten,Elephant
der,Fuchs,Füchse,Fox
der,Zeuge,Zeugen,Witness
der,Blick,Blicke,Gaze/Glance
die,Union,Unionen,Union
die,Wurst,Würste,Sausage
der,Krug,Krüge,Jug/Pitcher
der,Tod,Tode,Death
der,Fingernagel,Fingernägel,Fingernail
das,Angeln,kein Pl.,Fishing
die,kurze Hose,kurze Hosen,Shorts
die,Kruste,Krusten,Crust
der,Nerv,Nerven,Nerve
das,Aufblitzen,Aufblitzen,Glint
die,Umgebung,Umgebungen,Surroundings
der,Service,Services,Service
die,Zeichnung,Zeichnungen,Drawing
die,Tasche,Taschen,Bag/Pocket
der,Feiertag,Feiertage,Holiday
der,Muskel,Muskeln,Muscle
die,Öffentlichkeit,kein Pl.,Public
der,Zuschuss,Zuschüsse,Subsidy
die,Grenze,Grenzen,Border/Boundary
das,Schnäppchen,Schnäppchen,Bargain
der,Appetit,kein Pl.,Appetite
der,Samen,Samen,Seed
die,Kehle,Kehlen,Throat
die,Jagd,kein Pl.,Chase/Hunt
die,Krabbe,Krabben,Crab
das,Hämmern,kein Pl.,Pounding
der,Burger,Burger,Burger
die,Straße,Straßen,Road/Street
der,Anhänger,Anhänger,Trailer
die,Akademie,Akademien,Academy
die,Fähigkeit,Fähigkeiten,Ability/Skill
das,Wesen,Wesen,Being/Entity
der,Asteroid,Asteroiden,Asteroid
das,Gewirr,Gewirre,Tangle
die,Lizenz,Lizenzen,License
das,Gewürz,Gewürze,Spice
das,Regal,Regale,Rack/Shelf
die,Mode,kein Pl.,Fashion/Mode
die,Schnecke,Schnecken,Snail
der,Gürtel,Gürtel,Belt
die,Vereinigung,Vereinigungen,Association
der,Senator,Senatoren,Senator
das,Picknick,Picknicks,Picnic
die,Schwäche,Schwächen,Weakness
der,Bezirk,Bezirke,County/District
die,Überwachung,kein Pl.,Surveillance
der,Sarg,Särge,Coffin
das,Adel,kein Pl.,Gentry
die,Bedeutung,Bedeutungen,Importance/Meaning
der,Sturm,Stürme,Gale/Storm
die,Kommunikation,Kommunikationen,Communication
der,Granit,kein Pl.,Granite
der,Begriff,Begriffe,Term
die,Kurve,Kurven,Bend/Curve
das,Gewissen,Gewissen,Conscience
der,Lupfer,Lupfen,Dig
der,Palast,Paläste,Palace
die,Temperatur,Temperaturen,Temperature
die,Sache,Sachen,Thing
das,Gerät,Geräte,Device
der,Regen,Regen,Rain
die,Marina,Marinas,Marina
die,Inspektion,Inspektionen,Inspection
das,Gas,kein Pl.,Gas
die,Beute,kein Pl.,Prey
die,Arbeit,kein Pl.,Work
der,Frosch,Frösche,Frog
der,Alarm,Alarme,Alarm
die,Herausforderung,Herausforderungen,Challenge
die,Hecke,Hecken,Hedge
das,Trinken,kein Pl.,Drinking
das,Esszimmer,Esszimmer,Dining
der,Schnee,kein Pl.,Snow
der,Chor,Chöre,Choir/Chorus
die,Bedrohung,Bedrohungen,Threat
die,Stirn,Stirnen,Forehead
die,Maske,Masken,Mask
das,Engagement,Engagements,Engagement
die,Lust,kein Pl.,Lust
die,Erweiterung,Erweiterungen,Extension
der,Puls,Pulse,Pulse
das,Nicken,Nicken,Nod
die,Rakete,Raketen,Missile/Rocket
die,Angst,kein Pl.,Fear/Anxiety
die,Bremse,Bremsen,Brake
die,Seife,Seifen,Soap
das,Grab,Gräber,Grave
der,Schock,Schocks,Shock
der,Kellner,Kellner,Waiter
die,Katastrophe,Katastrophen,Disaster
die,Gesundheit,kein Pl.,Health
der,Cutter,Cutter,Cutter
das,Monster,Monster,Monster
der,Keller,Keller,Basement/Cellar
die,Mission,Missionen,Mission
die,Baumwolle,kein Pl.,Cotton
die,Limonade,Limonaden,Soda
der,Kerl,Kerle,Fella/Fellow
die,Kirsche,Kirschen,Cherry
der,Arzt,Ärzte,Doctor/Physician
das,Fitnessstudio,Fitnessstudios,Gym
die,Witwe,Witwen,Widow
das,Tuch,Tücher,Shawl
der,Unglaube,kein Pl.,Disbelief
die,Socke,Socken,Sock
die,Ausarbeitung,Ausarbeitungen,Draft
das,Weinen,Weinen,Cry
der,Abend,Abende,Evening
die,Rede,Reden,Speech
der,Kalender,Kalender,Calendar
die,Königin,Königinnen,Queen
die,Peitsche,Peitschen,Lash/Whip
das,Loch,Löcher,Hole
das,Silber,kein Pl.,Silver
der,Rekord,Rekorde,Record
das,Paar,Paare,Couple/Pair
die,Brise,Brisen,Breeze
der,Kiefer,Kiefer,Jaw/Pine
der,Baum,Bäume,Tree
das,Gerichtsgebäude,Gerichtsgebäude,Courthouse
der,Hit,Hits,Hit
der,Keks,Kekse,Biscuit/Cookie
das,Fach,Fächer,Subject
der,Zauber,Zauber,Spell
das,Opfer,Opfer,Sacrifice/Victim
das,Fett,Fette,Fat/Grease
der,Basketball,kein Pl.,Basketball
das,Entsetzen,kein Pl.,Dismay
das,Kostüm,Kostüme,Costume
die,Menge,Mengen,Amount/Mob
die,Erklärung,Erklärungen,Explanation
das,Patch,Patches,Patch
die,Aufregung,kein Pl.,Commotion/Excitement
die,Sorge,Sorgen,Care/Concern
die,Kälte,kein Pl.,Cold
der,Schatten,Schatten,Shade/Shadow
der,Herzog,Herzog,Duke
der,Erpel,Erpel,Drake
die,Entwicklung,Entwicklungen,Development
der,Herd,Herde,Stove
die,Möhre,Möhren,Carrot
die,Beobachtung,Beobachtungen,Observation
der,Experte,Experten,Expert
der,Zusammenbruch,Zusammenbrüche,Collapse
das,Team,Teams,Team
der,Kontext,Kontexte,Context
die,Harmonie,Harmonien,Harmony
die,Sekunde,Sekunden,Second
die,Literatur,kein Pl.,Literature
der,Tarif,Tarife,Rate
der,Hain,Haine,Grove
der,Strom,Ströme,Current/Electricity
die,Böe,Böen,Gust
das,Nest,Nester,Nest
der,Zoo,Zoos,Zoo
der,Schmutz,kein Pl.,Dirt
der,Kommentar,Kommentare,Comment
das,Flugzeug,Flugzeuge,Aircraft/Airplane
die,Idee,Ideen,Idea/Notion
die,Revolution,Revolutionen,Revolution
die,Papierarbeit,kein Pl.,Paperwork
die,Krawatte,Krawatten,Tie
die,Säule,Säulen,Column/Pillar
die,Leere,kein Pl.,Emptiness/Void
der,Bergarbeiter,Bergarbeiter,Miner
die,Technologie,Technologien,Technology
die,Option,Optionen,Option
der,Sammler,Sammler,Collector
der,Eindruck,Eindrücke,Impression
die,Schwester,Schwestern,Sister
die,Erdbeere,Erdbeeren,Strawberry
das,Schwimmen,kein Pl.,Swimming
das,Deck,Decks,Deck
der,Pfannkuchen,Pfannkuchen,Pancake
die,Definition,Definitionen,Definition
der,Aufenthalt,Aufenthalte,Stay
das,Tattoo,Tattoos,Tattoo
der,Schwindel,Schwindel,Con
die,Maschine,Maschinen,Machine
die,Jasmin,Jasmin,Jasmine
der,Schließfach,Schließfächer,Locker
die,Steuer,Steuern,Tax
der,Pick-up,Pick-ups,Pickup
der,Graf,Grafen,Count/Earl
die,Kopfschmerzen,Kopfschmerzen,Headache
das,Gehirn,Gehirne,Brain
die,Küche,Küchen,Kitchen
das,Gesicht,Gesichter,Face
der,Start,Starts,Launch/Start
der,Bruder,Brüder,Brother
die,Tiefe,Tiefen,Depth
die,Batterie,Batterien,Battery
der,General,Generäle,General
das,Zifferblatt,Zifferblätter,Dial
die,Tomate,Tomaten,Tomato
das,Medikament,Medikamente,Drug
das,Sumpf,Sümpfe,Marsh/Swamp
die,Wirbelsäule,Wirbelsäulen,Spine
die,Turnschuhe,Turnschuhe,Sneakers
das,Teilchen,Teilchen,Particle
der,Hubschrauber,Hubschrauber,Chopper/Helicopter
der,Bewohner,Bewohner,Resident
das,Düsenflugzeug,Düsenflugzeuge,Jet
der,Opa,Opas,Grandpa
die,Mine,Minen,Mine
der,Kern,Kerne,Core
die,Station,Stationen,Ward
der,Berg,Berge,Mountain
der,Papst,Päpste,Pope
die,Kerze,Kerzen,Candle
der,Transport,Transporte,Transport
die,Mutter,Mütter,Mother/Mom
die,Handvoll,Handvoll,Handful
das,Blut,kein Pl.,Blood
die,Routine,Routinen,Routine
das,Gehen,kein Pl.,Walking
der,Verlierer,Verlierer,Loser
die,Religion,Religionen,Religion
die,Iris,Irisse,Iris
der,Stoppel,Stoppeln,Stubble
die,Pflanze,Pflanzen,Plant
die,Fliege,Fliegen,Fly
das,Backup,Backups,Backup
das,Chaos,kein Pl.,Chaos
der,Bogenschütze,Bogenschützen,Archer
die,Überlegung,Überlegungen,Consideration
das,Reinigen,kein Pl.,Cleaning
das,Resort,Resorts,Resort
das,Gesetz,Gesetze,Law
der,Vorfahr,Vorfahren,Ancestor
der,Zahn,Zähne,Fang/Tooth
der,Stellvertreter,Stellvertreter,Deputy
der,Schuss,Schüsse,Shot
der,Mythos,Mythen,Myth
die,Eisenbahn,Eisenbahnen,Railroad
das,Land,Länder,Country/Land
der,Bestand,Bestände,Stock
das,Kap,Kaps,Cape
die,Mitte,kein Pl.,Middle
der,Smartphone,Smartphones,Smartphone
die,Marke,Marken,Brand
der,Grund,Gründe,Reason
die,Zufriedenheit,Zufriedenheit,Satisfaction
die,Kontur,Konturen,Outline
der,Bus,Busse,Bus
das,Wohnzimmer,Wohnzimmer,Living
die,Karriere,Karrieren,Career
die,Nachricht,Nachrichten,Message
das,Gepäck,kein Pl.,Luggage
die,Münze,Münzen,Coin
die,Luke,Luken,Hatch
der,Fang,Fänge,Catch
die,Galaxie,Galaxien,Galaxy
die,Zange,Zangen,Pliers
der,Geist,Geister,Ghost/Spirit
der,Dollar,Dollars,Buck
die,Kopfhaut,Kopfhäute,Scalp
die,Dienstmädchen,Dienstmädchen,Maid
das,Schlagen,kein Pl.,Beating
der,Befehl,Befehle,Command
das,Keuchen,kein Pl.,Gasp
der,Idiot,Idioten,Git/Idiot
die,Konferenz,Konferenzen,Conference
das,Puff,Puffs,Puff
der,Aktenkoffer,Aktentaschen,Briefcase
die,Türklingel,Türklingeln,Doorbell
die,Schlucht,Schluchten,Canyon
der,Ranger,Ranger,Ranger
die,Erlaubnis,Erlaubnisse,Permission
das,Geschäft,Geschäfte,Business/Deal
der,Soldat,Soldaten,Soldier/Trooper
die,Perspektive,Perspektiven,Perspective
das,Märchen,Märchen,Tale
die,Bürste,Bürsten,Brush
das,Werkzeug,Werkzeuge,Tool
der,Hecht,Hechte,Pike
die,Planke,Planken,Plank
der,Haufen,Haufen,Heap
die,Butter,kein Pl.,Butter
die,Kugel,Kugeln,Bullet/Sphere
die,Schiene,Schienen,Rail
die,Versicherung,Versicherungen,Insurance
der,Sprung,Sprünge,Hop/Jump
die,Unwissenheit,kein Pl.,Ignorance
das,Floß,Floße,Raft
das,Mitglied,Mitglieder,Member
die,Geschichte,Geschichten,History/Story
das,Englisch,kein Pl.,English
die,Ehre,kein Pl.,Honor
der,Zucker,kein Pl.,Sugar
die,Sicherheit,Sicherheiten,Safety/Security
das,Bein,Beine,Leg
die,Sirene,Sirenen,Siren
die,Strahlung,Strahlungen,Radiation
der,Aschenbecher,Aschenbecher,Ashtray
die,Unterhaltung,Unterhaltungen,Entertainment
die,Kutsche,Kutschen,Carriage
die,Blase,Blasen,Bubble
der,Verschluss,Verschlüsse,Shutter
die,Irritation,Irritationen,Irritation
der,Zement,kein Pl.,Cement
das,Hinken,Hinken,Limp
der,Überrest,Überreste,Remnant
die,Erfahrung,Erfahrungen,Experience
der,Vorarbeiter,Vorarbeiter,Foreman
das,Bewusstsein,kein Pl.,Awareness/Consciousness
der,Tropfen,Tropfen,Drop
die,Bräune,Bräunen,Tan
das,Spritzen,Spritzen,Splash
das,Viertel,Viertel,Quarter
der,Krieger,Krieger,Warrior
die,Schwalbe,Schwalben,Swallow
der,Eimer,Eimer,Bucket
der,Container,Container,Container
das,Tagebuch,Tagebücher,Diary
die,Bindung,Bindungen,Bond
der,Stamm,Stämme,Strain/Tribe
der,Empfangsmitarbeiter,Empfangsmitarbeiter,Receptionist
die,Umstände,kein Pl.,Circumstance
der,Staub,kein Pl.,Dust
der,Lorbeer,Lorbeeren,Laurel
der,Darm,kein Pl.,Gut
das,Korn,Körner,Grain
die,Bronze,kein Pl.,Bronze
der,Asphalt,kein Pl.,Asphalt
das,Wasser,kein Pl.,Water
das,Management,kein Pl.,Management
die,Schildkröte,Schildkröten,Turtle
der,Gedanke,Gedanken,Thought
die,Erwartung,Erwartungen,Expectation
die,Aussage,Aussagen,Statement
der,Kredit,Kredite,Credit
die,Ablenkung,Ablenkungen,Distraction
der,Bote,Boten,Messenger
die,Narbe,Narben,Scar
der,Supermarkt,Supermärkte,Supermarket
die,Begeisterung,kein Pl.,Enthusiasm
der,Duft,Düfte,Scent
der,Nachgiebigkeit,kein Pl.,Resilience
der,Schwarm,Schwärme,Crush
der,Empfänger,Empfänger,Receiver
der,Busch,Büsche,Bush
der,Dorfbewohner,Dorfbewohner,Villager
die,Leidenschaft,Leidenschaften,Passion
die,Abfahrt,Abfahrten,Departure
das,Taxi,Taxis,Cab/Taxi
der,Zehncent,Zehncents,Dime
die,Maultier,Maultiere,Mule
die,Schulter,Schultern,Shoulder
die,Datei,Dateien,File
die,Zehe,Zehen,Toe
der,Pier,Piers,Pier
die,Realität,Realitäten,Reality
das,Gebiet,Gebiete,Area/Territory
die,Brust,Brüste,Breast/Chest
die,Armee,Armeen,Army
die,Magie,kein Pl.,Magic
die,Schrift,Schriften,Writing
der,Indianer,Indianer,Indian
das,Unkraut,kein Pl.,Weed
die,Wurzel,Wurzeln,Root
der,Kürbis,Kürbisse,Pumpkin
die,Rolle,Rollen,Role/Roll
die,Medien,kein Pl.,Media
der,Pantoffel,Pantoffel,Slipper
die,Klinge,Klingen,Blade
der,Flüchtling,Flüchtlinge,Refugee
der,Preis,Preise,Price/Prize
der,Stress,kein Pl.,Stress
der,Koffer,Koffer,Suitcase
der,Umhang,Umhänge,Cloak/Robe
das,Corps,Cores,Corps
der,Ursprung,Ursprünge,Origin
die,Hausaufgabe,Hausaufgaben,Homework
die,Institution,Institutionen,Institution
die,Größe,Größen,Size
die,Allee,Alleen,Avenue
die,Vielfalt,Vielfalten,Variety
der,Lachs,Lachse,Salmon
der,Welpe,Welpen,Puppy
das,Fliegen,kein Pl.,Flying
der,Vorschlag,Vorschläge,Proposal/Suggestion
der,Professor,Professoren,Professor
das,Wetter,kein Pl.,Weather
das,Manuskript,Manuskripte,Manuscript
die,Logik,kein Pl.,Logic
die,Klippe,Klippen,Cliff
der,Fluch,Flüche,Curse
der,Troll,Trolle,Troll
die,Schiefertafel,Schiefertafeln,Slate
das,Bündel,Bündel,Bundle
die,Trauer,kein Pl.,Grief/Sadness
der,Huf,Hufe,Hoof
die,Intelligenz,kein Pl.,Intelligence
die,Entdeckung,Entdeckungen,Discovery
das,Lumpen,Lumpen,Rag
der,Anblick,Anblicke,Sight
das,Konzert,Konzerte,Concert
die,Schönheit,Schönheiten,Beauty/Belle
der,Innenhof,Innenhöfe,Courtyard
die,Kultur,Kulturen,Culture
der,Kies,kein Pl.,Gravel
der,Umschlag,Umschläge,Envelope
der,Boom,Booms,Boom
der,Damm,Dämme,Dam
die,Fingerspitze,Fingerspitzen,Fingertip
die,Serie,Serien,Series
das,Einfrieren,Einfrierungen,Freeze
das,Aussehen,kein Pl.,Appearance
die,Truhe,Truhen,Chest
der,Funke,Funken,Spark
der,Träger,Träger,Carrier
die,Flamme,Flammen,Flame
das,Jahrhundert,Jahrhunderte,Century
der,Beweis,Beweise,Evidence/Proof
die,Wohnung,Wohnungen,Apartment
die,Qualle,Quallen,Jellyfish
die,Schlagzeile,Schlagzeilen,Headline
die,Debatte,Debatten,Debate
der,Schweiß,kein Pl.,Sweat
der,Reiz,Reize,Appeal
die,Taube,Tauben,Dove/Pigeon
der,Verleger,Verleger,Publisher
die,Portion,Portionen,Portion
der,Bruchteil,Bruchteile,Fraction
die,Herde,Herde,Flock/Herd
die,Meinung,Meinungen,Opinion
die,Jury,Jurys,Jury
der,Rand,Ränder,Edge/Fringe
das,Rezept,Rezepte,Recipe
die,Aktion,Aktionen,Action
die,Abwesenheit,kein Pl.,Absence
das,Selbst,kein Pl.,Self
die,Gerechtigkeit,kein Pl.,Justice
der,Sensor,Sensoren,Sensor
die,Forelle,Forellen,Trout
der,Satin,kein Pl.,Satin
die,Augenbraue,Augenbrauen,Eyebrow
der,Rang,Ränge,Rank
das,Brötchen,Brötchen,Patty
das,Produkt,Produkte,Product
der,Instinkt,Instinkte,Instinct
die,Violine,Violinen,Violin
der,Jubel,Jubel,Cheer
die,Trommel,Trommeln,Drum
die,Emotion,Emotionen,Emotion
die,Überzeugung,Überzeugungen,Conviction
die,Tragödie,Tragödien,Tragedy
die,Nase,Nasen,Nose
der,Großvater,Großväter,Grandfather
der,Farbton,Farbtöne,Hue
der,Anker,Anker,Anchor
der,Läufer,Läufer,Runner
der,Barkeeper,Barkeeper,Bartender
das,Brot,kein Pl.,Bread
der,Akt,Akte,Act
die,Träne,Tränen,Tear
der,Ausbruch,Ausbrüche,Burst
der,Geschäftsführer,Geschäftsführer,Executive
der,Teufel,Teufel,Devil
der,Zopf,Zöpfe,Braid
der,Ski,Skis,Ski
der,Haushalt,Haushalte,Budget/Household
das,Grunzen,Grunzen,Grunt
der,Herbst,Fälle,Autumn/Fall
der,Hügel,Hügel,Hill/Hillside
das,Gras,Gräser,Grass
die,Landung,Landungen,Landing
die,Zeder,Zedern,Cedar
das,Plus,kein Pl.,Plus
der,Erbe,Erben,Heir/Inheritance
die,Welle,Wellen,Ripple/Wave
die,Schwärze,kein Pl.,Blackness
die,Armut,Armut,Poverty
der,Stapel,Stapel,Pile/Stack
die,Energie,kein Pl.,Energy
das,Ingenieurwesen,kein Pl.,Engineering
die,Basis,Basen,Base/Basis
der,Feind,Feinde,Enemy
die,Stille,kein Pl.,Silence/Stillness
die,Sonne,Sonnen,Sun
das,Kraut,Kräuter,Herb
der,Operator,Operatoren,Operator
die,Wunde,Wunden,Wound
der,Geschäftsmann,Geschäftsleute,Businessman
der,Pfad,Pfade,Trail
der,Mensch,Menschen,Human
das,College,Colleges,College
die,Suche,Suchen,Search
der,Urlaub,Urlaube,Leave/Vacation
die,Geduld,kein Pl.,Patience
die,Limousine,Limousinen,Limo/Sedan
die,Dose,Dosen,Can/Tin
die,Leinwand,Leinwände,Canvas
die,Straftat,Straftaten,Offense
das,Laufen,kein Pl.,Running
die,Plattform,Plattformen,Platform
der,Salat,Salate,Salad
die,Freundlichkeit,Freundlichkeiten,Kindness
der,Shake,Shakes,Shake
das,Zuhause,Zuhause,Home
der,Vorgesetzte,Vorgesetzten,Supervisor
der,Chef,Chefs,Boss
die,Sternschnuppe,Sternschnuppen,Shooting star
der,Papa,Papas,Daddy
die,Schlacht,Schlachten,Battle
die,Eifersucht,kein Pl.,Jealousy
die,Antenne,Antennen,Antenna
das,Geschwister,Geschwister,Sibling
der,Rasen,Rasen,Lawn
der,Finger,Finger,Finger
der,Kaffee,Kaffees,Coffee
der,Hals,Hälse,Neck/Throat
der,Einfluss,Einflüsse,Influence
das,Gefühl,Gefühle,Feeling
der,Kandidat,Kandidaten,Candidate
das,Merkmal,Merkmale,Feature
der,Rücken,Rücken,Back
das,Matte,Matten,Mat
das,Klingeln,kein Pl.,Ringing
die,Sensation,Sensationen,Sensation
die,Erde,kein Pl.,Earth
der,Nervenkitzel,Nervenkitzel,Thrill
das,Programm,Programme,Program
das,Sonnenlicht,kein Pl.,Sunlight
die,Ausrüstung,kein Pl.,Equipment
der,Sommer,Sommer,Summer
der,Zungenbrecher,Zungenbrecher,Tongue twister
der,Strahl,Strahlen,Beam/Ray
die,Ebene,Ebenen,Plain
der,Griff,Griffe,Grasp/Grip
das,Heulen,Heulungen,Howl
das,Museum,Museen,Museum
die,Oberfläche,Oberflächen,Surface
die,Legende,Legenden,Legend
das,Lager,Lager,Camp/Warehouse
die,Minute,Minuten,Minute
die,Garage,Garagen,Garage
der,Dialog,Dialoge,Dialogue
der,Leutnant,Leutnants,Lieutenant
die,Halskette,Halsketten,Necklace
das,Reden,kein Pl.,Talking
der,Verbündete,Verbündeten,Ally
der,Pelz,Felle,Fur
der,Schlüssel,Schlüssel,Key
der,Dolch,Dolche,Dagger
der,Strich,Striche,Dash
die,Suite,Suiten,Suite
die,Menschheit,kein Pl.,Humanity
der,Klang,Klänge,Sound
das,Buch,Bücher,Book
das,Gegensprechanlage,Gegensprechanlagen,Intercom
die,Zitrone,Zitronen,Lemon
das,Kissen,Kissen,Cushion/Pad
der,Platz,Plätze,Plaza
der,Apfel,Äpfel,Apple
das,Zeug,kein Pl.,Stuff
die,Gewalt,kein Pl.,Violence
das,Ass,Asse,Ace
der,Strumpf,Strümpfe,Stocking
die,Locke,Locken,Curl
die,Verwandtschaft,kein Pl.,Kin
das,Zwinkern,Zwinkern,Wink
die,Übung,Übungen,Exercise/Practice
die,Bewunderung,kein Pl.,Admiration
der,Stachel,Stacheln,Spike
die,Kanone,Kanonen,Cannon
der,Kuss,Küsse,Kiss
die,Besessenheit,Besessenheiten,Obsession
der,Schaum,Schäume,Foam
die,Einstellung,Einstellungen,Attitude/Setting
der,Präsident,Präsidenten,President
die,Linie,Linien,Line
der,Haarschnitt,Haarschnitte,Haircut
das,Virus,Viren,Virus
das,Büro,Büros,Bureau/Office
der,Kuchen,Kuchen,Cake/Pie
der,Dampf,kein Pl.,Steam
die,Brücke,Brücken,Bridge
das,Foyer,Foyers,Foyer
die,Disziplin,kein Pl.,Discipline
die,Strecke,Strecken,Track
die,Heilung,Heilungen,Cure
der,Deckel,Deckel,Lid
die,Besatzung,Besatzungen,Crew
der,Krater,Krater,Crater
der,Mörder,Mörder,Killer/Murderer
die,Qualität,Qualitäten,Quality
die,Höhle,Höhlen,Cave/Cavern
die,Haltung,Haltungen,Posture
die,Ersparnisse,kein Pl.,Saving
der,Standard,Standards,Standard
der,Abstieg,Abstiege,Descent
der,Riss,Risse,Crack
der,Lauf,Läufe,Run
das,Auditorium,Auditorien,Auditorium
die,Ente,Enten,Duck
das,Erwachen,Erwachen,Wake
die,Sackkarre,Sackkarren,Dolly
die,Pumpe,Pumpen,Pump
das,Foto,Fotos,Photo
die,Anweisung,Anweisungen,Instruction
der,Sieger,Sieger,Victor
der,Moment,Momente,Moment
der,Krieg,Kriege,War
das,Schlafzimmer,Schlafzimmer,Bedroom
die,Unterschrift,Unterschriften,Signature
die,Kombination,Kombinationen,Combination
der,Stretch,kein Pl.,Stretch
die,Bluse,Blusen,Blouse
der,Kloß,Klöße,Lump
die,Lanze,Lanzen,Lance
der,Zweifel,Zweifel,Doubt
der,Sattel,Sättel,Saddle
der,Lautsprecher,Lautsprecher,Speaker
die,Kluft,Klüfte,Crevice
der,König,Könige,King
der,Turm,Türme,Tower
der,Husten,Husten,Cough
das,Tal,Täler,Glen/Valley
der,Aufsatz,Aufsätze,Essay
das,Organ,Organe,Organ
der,Absatz,Absätze,Heel
die,Geste,Gesten,Gesture
der,Tabak,kein Pl.,Tobacco
der,Oberst,Obersten,Colonel
das,Taschentuch,Taschentücher,Handkerchief
das,Muster,Muster,Pattern/Sample
die,Post,Posten,Mail/Post
der,Hass,kein Pl.,Hatred
das,Auto,Autos,Car
die,Verzweiflung,kein Pl.,Despair/Desperation
der,Hund,Hunde,Dog/Hound
das,Kleinkind,Kleinkinder,Infant
das,Eigentum,kein Pl.,Belongings
die,Laune,Launen,Mood
der,Polizist,Polizisten,Policeman
das,Instrument,Instrumente,Instrument
die,Sehnsucht,Sehnsüchte,Longing
der,Matrose,Matrosen,Sailor
der,Traum,Träume,Dream
der,Stiel,Stiele,Stem
der,Dunst,kein Pl.,Haze
das,Glück,kein Pl.,Fortune/Happiness
das,Dreieck,Dreiecke,Triangle
das,Shuttle,Shuttle,Shuttle
